Date;NYSE_XOM_Open_Price;NYSE_XOM_RSI;NYSE_XOM_Volatility;NYSE_XOM_Open_EMA_20;NYSE_XOM_Open_EMA_50;NYSE_CVX_Open_Price;NYSE_CVX_RSI;NYSE_CVX_Volatility;NYSE_CVX_Open_EMA_20;NYSE_CVX_Open_EMA_50;NYSE_SHEL_Open_Price;NYSE_SHEL_RSI;NYSE_SHEL_Volatility;NYSE_SHEL_Open_EMA_20;NYSE_SHEL_Open_EMA_50;NYSE_GC=F_Open_Price;NYSE_GC=F_RSI;NYSE_GC=F_Volatility;NYSE_GC=F_Open_EMA_20;NYSE_GC=F_Open_EMA_50;DXY;CL=F;TNX;OPEC
31/12/2024;106,17;25,872026;0,16190257;109,7791993;113,7576104;143,52;29,95794116;0,218356994;149,1143105;151,9970351;62,63;45,07280862;0,17418712;62,80375681;64,58004949;;;;;;108,09;71,15;0,04529;33
30/12/2024;106,3;26,17718478;0,162000266;110,159115;114,0673088;143,79;30,39442922;0,234187077;149,7031852;152,3430365;61,94;39,35765874;0,163762362;62,822047;64,65964334;2620,7;46,04989216;0,169556447;2636,747134;2639,294874;108,01;70,42;0,04577;34
29/12/2024;;;;;;;;;;;;;;;;;;;;;;;;35
28/12/2024;;;;;;;;;;;;;;;;;;;;;;;;36
27/12/2024;106,3;26,17718478;0,162604818;110,5653377;114,3843418;144,29;31,17550923;0,234645507;150,3256258;152,6921401;61,61;36,41971931;0,166486875;62,91489405;64,77064919;2617,7;45,44943365;0,17072437;2638,436306;2640,053848;108,08;69,68;0,04603;37
26/12/2024;106,52;26,6356095;0,162851012;111,0143206;114,7143149;143,67;29,07692658;0,229790062;150,9609548;153,0350845;61,48;35,27262372;0,165130983;63,05225132;64,89965528;2628,5;47,20575279;0,177758175;2640,619075;2640,96625;108,17;70,2;0,04631;38
25/12/2024;;;;;;;;;;;;;;;;;;;;;;;;39
24/12/2024;106,52;26,6356095;0,178845963;111,487407;115,0487767;143,1;27,1814269;0,226160089;151,7284238;153,4173329;61,37;34,34187967;0,176966271;63,21775146;65,03923305;2613;44,33928547;0,177138417;2641,894767;2641,475077;108,16;69,56;0,04609;40
23/12/2024;105,31;19,99086992;0,157983869;112,0102919;115,3968901;142,48;25,16122397;0,218364929;152,6366789;153,8384485;60,63;27,86210215;0,162355559;63,41225161;65,18899766;2620;45,3723643;0,176931951;2644,936322;2642,637325;107,82;69,4;0,0455;41
22/12/2024;;;;;;;;;;;;;;;;;;;;;;;;42
21/12/2024;;;;;;;;;;;;;;;;;;;;;;;;43
20/12/2024;105,45;20,18730953;0,166725599;112,7155858;115,8085999;140,82;19,61689043;0,206177899;153,705803;154,3020587;60,23;24,10249254;0,172981901;63,7051202;65,3750792;2605,3;42,77229005;0,175093423;2647,561198;2643,561297;108,48;69,23;0,04542;44
19/12/2024;107,39;23,10925678;0,168623951;113,4803843;116,2313999;144,57;23,22634954;0,19639598;155,0622033;154,8523468;61,42;28,15623481;0,160240978;64,07092233;65,58508243;2582,1;38,48120488;0,171262504;2652,009745;2645,122983;108,1;70,14;0,04532;45
18/12/2024;107,57;23,40107733;0,16732382;114,1214774;116,5922733;147,76;27,17614434;0,187123977;156,1666457;155,2720344;62,09;30,87069682;0,157930002;64,34996678;65,7550858;2644,3;47,31324963;0,13764994;2659,368666;2647,69535;106,93;70,22;0,04418;46
17/12/2024;107,24;21,71821985;0,162532271;114,8111066;116,9605294;148;27,50288845;0,19042598;157,0515558;155,578648;61,74;27,47929078;0,15324607;64,58785802;65,90468114;2651,8;48,56117314;0,13730861;2660,954841;2647,833935;106,82;70,61;0,0443;47
16/12/2024;110,2;26,58243157;0,141872734;115,6080652;117,3572857;153,89;37,88239527;0,12152284;158,0043512;155,8879806;63,22;34,03561086;0,132557788;64,88763255;66,07466812;2658,3;49,61429696;0,17280126;2661,918508;2647,672055;106,95;71,44;0,04369;48
15/12/2024;;;;;;;;;;;;;;;;;;;;;;;;49
14/12/2024;;;;;;;;;;;;;;;;;;;;;;;;50
13/12/2024;111,9;30,1882015;0,137235835;116,1773352;117,6494198;154,87;40,22798923;0,125038234;158,4374408;155,9695308;63,96;38,27556939;0,129010312;65,06317282;66,19118519;2688,2;54,67938551;0,166229014;2662,299404;2647,238261;106,97;70,06;0,04344;51
